epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,165.142,0.76948,0.90217,1,0.2859,0.0003309,0.0003309,0.0003309
2,393.115,0.3671,0.86775,1,0.30152,0.000651082,0.000651082,0.000651082
3,532.357,0.36758,0.89312,1,0.32015,0.000958063,0.000958063,0.000958063
4,670.536,0.35484,0.875,1,0.25593,0.0009406,0.0009406,0.0009406
5,805.954,0.32473,0.9058,1,0.28993,0.0009208,0.0009208,0.0009208
6,943.178,0.32486,0.90942,1,0.22712,0.000901,0.000901,0.000901
7,1079.4,0.31828,0.91848,1,0.1977,0.0008812,0.0008812,0.0008812
8,1215.7,0.25646,0.88043,1,0.2664,0.0008614,0.0008614,0.0008614
9,1351.53,0.26992,0.88949,1,0.30367,0.0008416,0.0008416,0.0008416
10,1497.64,0.23822,0.90942,1,0.27885,0.0008218,0.0008218,0.0008218
11,1670.69,0.27424,0.90942,0.99819,0.25816,0.000802,0.000802,0.000802
12,1845.28,0.24263,0.92029,1,0.20853,0.0007822,0.0007822,0.0007822
13,2040.61,0.21975,0.92935,1,0.16335,0.0007624,0.0007624,0.0007624
14,2254.76,0.23783,0.93297,1,0.16182,0.0007426,0.0007426,0.0007426
15,2472.3,0.21139,0.92029,1,0.18663,0.0007228,0.0007228,0.0007228
16,2680.52,0.21486,0.92935,1,0.15508,0.000703,0.000703,0.000703
17,2854.03,0.21369,0.91667,0.99819,0.19076,0.0006832,0.0006832,0.0006832
18,3006.7,0.22331,0.92572,1,0.15011,0.0006634,0.0006634,0.0006634
19,3208.55,0.19545,0.93116,1,0.15116,0.0006436,0.0006436,0.0006436
20,3426.22,0.20137,0.92572,1,0.19063,0.0006238,0.0006238,0.0006238
21,3636.99,0.17098,0.94384,1,0.14715,0.000604,0.000604,0.000604
22,3833.41,0.21432,0.95109,1,0.13071,0.0005842,0.0005842,0.0005842
23,4032.17,0.18305,0.9529,1,0.13074,0.0005644,0.0005644,0.0005644
24,4247.02,0.18634,0.93841,1,0.15268,0.0005446,0.0005446,0.0005446
25,4461.15,0.16849,0.95652,1,0.12174,0.0005248,0.0005248,0.0005248
26,4659.21,0.1651,0.95109,1,0.11961,0.000505,0.000505,0.000505
27,4848.47,0.16825,0.95833,1,0.10369,0.0004852,0.0004852,0.0004852
28,5014.82,0.16307,0.96014,1,0.10714,0.0004654,0.0004654,0.0004654
29,5216.04,0.16739,0.95109,1,0.11313,0.0004456,0.0004456,0.0004456
30,5428.21,0.17407,0.96014,1,0.10111,0.0004258,0.0004258,0.0004258
31,5633.74,0.14175,0.96196,1,0.08925,0.000406,0.000406,0.000406
32,5856.36,0.1442,0.9529,1,0.12832,0.0003862,0.0003862,0.0003862
33,6043.2,0.14917,0.95471,1,0.12041,0.0003664,0.0003664,0.0003664
34,6195.82,0.14367,0.9529,1,0.12336,0.0003466,0.0003466,0.0003466
35,6351.03,0.14355,0.96196,1,0.09389,0.0003268,0.0003268,0.0003268
36,6509.03,0.14192,0.96014,1,0.10135,0.000307,0.000307,0.000307
37,6695.93,0.14612,0.96377,1,0.08916,0.0002872,0.0002872,0.0002872
38,6854.67,0.14792,0.9692,1,0.10819,0.0002674,0.0002674,0.0002674
39,7008.91,0.12868,0.96014,1,0.0928,0.0002476,0.0002476,0.0002476
40,7201.15,0.13324,0.96558,1,0.10025,0.0002278,0.0002278,0.0002278
41,7367.78,0.14493,0.96377,1,0.10183,0.000208,0.000208,0.000208
42,7514.18,0.13672,0.96739,1,0.08636,0.0001882,0.0001882,0.0001882
43,7656.65,0.12042,0.96196,1,0.0889,0.0001684,0.0001684,0.0001684
44,7789.02,0.12879,0.96196,1,0.1333,0.0001486,0.0001486,0.0001486
45,7939.51,0.12084,0.95471,1,0.10625,0.0001288,0.0001288,0.0001288
46,8120.27,0.10962,0.95471,1,0.11297,0.000109,0.000109,0.000109
47,8302.38,0.12339,0.96377,1,0.12842,8.92e-05,8.92e-05,8.92e-05
48,8446.1,0.11031,0.96014,1,0.09866,6.94e-05,6.94e-05,6.94e-05
49,8623.76,0.11839,0.96558,1,0.09638,4.96e-05,4.96e-05,4.96e-05
50,8793.71,0.11253,0.96196,1,0.10558,2.98e-05,2.98e-05,2.98e-05
